iter	Logloss
0	0.6564100218
1	0.6223299656
2	0.5971339429
3	0.5718279798
4	0.5503632387
5	0.5201241526
6	0.4936920404
7	0.4779362604
8	0.4586124791
9	0.4425524205
10	0.4235110377
11	0.4104809481
12	0.3982800387
13	0.3864555679
14	0.3748813741
15	0.3662561714
16	0.3597788404
17	0.3532887992
18	0.3460190002
19	0.3425439895
20	0.3365562764
21	0.3325947677
22	0.328319425
23	0.3226434198
24	0.3172498724
25	0.3158715495
26	0.3131053766
27	0.3081360189
28	0.3066439889
29	0.3019734257
30	0.3004304885
31	0.2981179651
32	0.2922007749
33	0.2889218804
34	0.2860298936
35	0.2838188942
36	0.2822358317
37	0.2798972007
38	0.2797919732
39	0.2771451684
40	0.2740061
41	0.2722879914
42	0.2702166243
43	0.2663392564
44	0.2645076633
45	0.2627521112
46	0.2613467182
47	0.2589277692
48	0.2585105896
49	0.2578209634
50	0.2558686357
51	0.2533227745
52	0.2524223694
53	0.2512220985
54	0.2495443162
55	0.2469494509
56	0.246089101
57	0.2450892925
58	0.2441072669
59	0.2435833071
60	0.2413028784
61	0.2404306737
62	0.2396061807
63	0.2388861962
64	0.2374165832
65	0.2356875329
66	0.2356726788
67	0.2350936862
68	0.2340582184
69	0.2339291817
70	0.2327663865
71	0.2327603696
72	0.2327229624
73	0.2315566573
74	0.231393963
75	0.2302596918
76	0.2302422514
77	0.2294718974
78	0.2290177634
79	0.2285077157
80	0.2283095902
81	0.2274642252
82	0.2274588304
83	0.2254658664
84	0.2240958594
85	0.222713645
86	0.220895962
87	0.2197856136
88	0.2168556853
89	0.2161426003
90	0.2142022002
91	0.2130797534
92	0.2121608776
93	0.2117327297
94	0.2110001273
95	0.2104403804
96	0.2100669314
97	0.2095943238
98	0.2089086183
99	0.207512225
100	0.2068947389
101	0.2064874379
102	0.2063574044
103	0.2060750013
104	0.2053803422
105	0.20538034
106	0.2048821556
107	0.2045589385
108	0.2041185795
109	0.2036785963
110	0.2021519118
111	0.2015230896
112	0.2002456631
113	0.199541524
114	0.1979724129
115	0.1979689657
116	0.1967747515
117	0.1966130634
118	0.1963928076
119	0.1949726419
120	0.1946002612
121	0.1942613331
122	0.1939483194
123	0.1936221738
