iter	Passed	Remaining
0	178	89106
1	222	55361
2	257	42737
3	297	36901
4	337	33446
5	376	31010
6	415	29234
7	440	27091
8	479	26140
9	525	25755
10	567	25221
11	605	24623
12	655	24555
13	692	24046
14	729	23601
15	768	23246
16	824	23439
17	868	23257
18	921	23328
19	971	23319
20	1023	23343
21	1067	23199
22	1113	23095
23	1158	22980
24	1199	22799
25	1222	22293
26	1260	22085
27	1303	21969
28	1334	21680
29	1373	21512
30	1412	21366
31	1455	21281
32	1492	21120
33	1551	21259
34	1601	21282
35	1657	21366
36	1720	21528
37	1766	21472
38	1780	21043
39	1819	20922
40	1858	20803
41	1896	20685
42	1934	20563
43	1973	20453
44	2012	20346
45	2064	20379
46	2103	20278
47	2142	20176
48	2181	20075
49	2219	19972
50	2256	19868
51	2295	19776
52	2332	19669
53	2369	19572
54	2407	19475
55	2444	19382
56	2482	19292
57	2520	19205
58	2557	19115
59	2598	19054
60	2637	18979
61	2675	18898
62	2718	18853
63	2755	18771
64	2792	18688
65	2830	18615
66	2856	18463
67	2893	18381
68	2930	18306
69	2945	18090
70	2981	18017
71	3001	17839
72	3058	17890
73	3106	17885
74	3145	17823
75	3184	17768
76	3204	17604
77	3241	17535
78	3278	17473
79	3298	17318
80	3334	17247
81	3371	17187
82	3391	17039
83	3429	16986
84	3467	16927
85	3504	16869
86	3542	16816
87	3580	16763
88	3619	16712
89	3658	16665
90	3695	16610
91	3734	16559
92	3771	16506
93	3809	16455
94	3846	16400
95	3885	16350
96	3922	16296
97	3961	16250
98	3999	16198
99	4037	16150
100	4075	16098
101	4113	16049
102	4141	15962
103	4178	15911
104	4216	15861
105	4235	15744
106	4273	15696
107	4312	15651
108	4349	15603
109	4388	15558
110	4426	15514
111	4464	15466
112	4503	15422
113	4540	15374
114	4583	15344
115	4597	15218
116	4636	15176
117	4673	15128
118	4698	15044
119	4736	14998
120	4775	14957
121	4812	14910
122	4850	14867
123	4888	14824
